,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Cilindrada,Potencia Máxima Declarada,Altura asiento
101,BMW,R Nine T Urban GS 2018,14.100 €,A / A2,Trail,2017,https://www.bmw-motorrad.es,1.170 cc,110 cv,850 mm
102,BMW,K 1600 Grand America 2018,29.917 €,A,Touring,2018,https://www.bmw-motorrad.es,1.649 cc,160 cv,780 mm
103,BMW,C 400 X 2018,7.506 €,A2,Scooter,2018,https://www.bmw-motorrad.es,350 cc,34 cv,775 mm
104,BMW,F 750 GS,9.560 €,A/A2,Trail,2018,https://www.bmw-motorrad.es,853 cc,77 cv,815 mm
105,BMW,F 850 GS 2018,11.860 €,A/A2,Trail,2018,https://www.bmw-motorrad.es,853 cc,95 cv,860 mm
106,BMW,R nineT Motorrad Spezial,15.550 €,A,Custom,2018,https://www.bmw-motorrad.es,1.170 cc,110 cv,785 mm
107,BMW,R 1200 RT 2018,18.900 €,A,Touring,2018,https://www.bmw-motorrad.es,1.170 cc,125 cv,805 mm
108,BMW,BMW R 1200 GS 2018,16.600 €,A,Trail,2018,https://www.bmw-motorrad.es,1.170 cc,125 cv,850 mm
109,BMW,S 1000 R 2017,14.350 €,A,Naked,2017,https://www.bmw-motorrad.es,999 cc,165 cv,814 mm
110,BMW,BMW R 1200 GS 2017,16.600 €,A,Trail,2017,https://www.bmw-motorrad.es,1.170 cc,125 cv,850 mm
111,BMW,K 1600 GT 2017,24.600 €,A,Touring,2017,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm
112,BMW,G 310 GS 2017,6.050 €,A2,Trail,2017,https://www.bmw-motorrad.es,313 cc,34 cv,835 mm
113,BMW,C 650 GT,11.700 €,A/A2,Scooter,2016,https://www.bmw-motorrad.es,647 cc,60 cv,780 mm
114,BMW,C 650 SPORT,11.400 €,A/A2,Scooter,2016,https://www.bmw-motorrad.es,647 cc,60 cv,810 mm
115,BMW,HP4,23.750 €,A,Deportiva,2016,https://www.bmw-motorrad.es,999 cc,193 cv,820 mm
116,BMW,S 1000 RR,18.950 €,A,Deportiva,2016,https://www.bmw-motorrad.es,999 cc,198 cv,815 mm
117,BMW,F 800 GS,11.200 €,A/A2,Trail,2016,https://www.bmw-motorrad.es,798 cc,85 cv,880 mm
118,BMW,K 1600 GTL,25.100 €,A,Touring,2016,https://www.bmw-motorrad.es,1.649 cc,160 cv,750 mm
