,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Cilindrada,Potencia Máxima Declarada,Altura asiento,URL imágenes,URL logos
72,BMW,R18 2020,24.590 €,A,Custom,2020,https://www.bmw-motorrad.es,1.802 cc,91 cv,690 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-r18-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
73,BMW,F 900 XR 2020,11.950 €,A/A2,Touring,2019,https://www.bmw-motorrad.es,895 cc,105 cv,860 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-f-900-xr-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
74,BMW,F 900 R 2020,8.995 €,A/A2,Touring,2019,https://www.bmw-motorrad.es,895 cc,105 cv,815 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-f-900-r-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
75,BMW,S 1000 XR 2020,17.200 €,A,Touring,2020,https://www.bmw-motorrad.es,999 cc,165 cv,840 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-s-1000-xr-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
76,BMW,R Nine T Urban GS Puntapunta 2020,14.100 €,A / A2,Trail,2019,https://www.bmw-motorrad.es,1.170 cc,110 cv,850 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-r-ninet-urban-gs-puntapunta.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
77,BMW,R NineT 5 2020,16.450 €,A,Naked,2019,https://www.bmw-motorrad.es,1.170 cc,110 cv,785 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-r-ninet-5-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
78,BMW,R 1250 RT 2020,20.050 €,A,Touring,2019,https://www.bmw-motorrad.es,1.254 cc,136 cv,805 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-r-1250-rt-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
79,BMW,K 1600 B Grand America 2020,29.927 €,A,Touring,2019,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-k-1600-grand-america-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
80,BMW,K 1600 B 2020,26.200 €,A,Touring,2019,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-k-1600-b-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
81,BMW,K 1600 GTL 2020,27.100 €,A,Touring,2019,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-k-1600-gtl-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
82,BMW,K 1600 GT 2020,26.200 €,A,Touring,2019,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-k-1600-gt-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
83,BMW,S 1000 RR 2020,21.250 €,A,Deportiva,2020,https://www.bmw-motorrad.es,999 cc,207 cv,824 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-s-1000-rr-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
84,BMW,S 1000 R 2020,15.650 €,A,Naked,2019,https://www.bmw-motorrad.es,999 cc,165 cv,814 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-s-1000-r-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
85,BMW,F 850 GS Rallye 2020,13.200 €,A/A2,Trail,2019,https://www.bmw-motorrad.es,853 cc,95 cv,860 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-f-850-gs-rallye-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
86,BMW,C 650 GT 2020,12.821 €,A/A2,Scooter,2019,https://www.bmw-motorrad.es,647 cc,60 cv,780 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-c-650-gt-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
87,BMW,C 650 Sport 2020,13.135 €,A/A2,Scooter,2020,https://www.bmw-motorrad.es,647 cc,60 cv,810 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-c-650-sport-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
88,BMW,G 310 GS 2020,6.200 €,A2,Trail,2019,https://www.bmw-motorrad.es,313 cc,34 cv,835 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-g-310-gs-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
89,BMW,G 310 R 2020,5.350 €,A2,Naked,2019,https://www.bmw-motorrad.es,313 cc,34 cv,785 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-g-310-r-2020.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
90,BMW,S 1000 RR 2019,21.250 €,A,Deportiva,2019,https://www.bmw-motorrad.es,999 cc,207 cv,824 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-s-1000-rr-2019.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
91,BMW,R 1250 R HP 2019,14.800 €,A,Deportiva,2019,https://www.bmw-motorrad.es,1.254 cc,136 cv,820 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-r-1250-r-hp-2019-.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
